Источник,Год публикации,Автор,Страна,Место,Ссылка,Примерные координаты,Широта ,Долгота,
,,,,г. Сестрорецк: Верхний парк,,"60.0972, 29.9708",60.0972,29.9708,
,,,,г. Гатчина: Дворцовый парк,,"59.5694, 30.1083",59.5694,30.1083,
Материалы по фауне ксило- и мицетобионтных жесткокрылых (Coleoptera) Куршской косы,2006,В.И. Алексеев,Россия,Калининградская обл.: Куршская коса (от пос. Морское до г. Зеленоградска) ,https://www.park-kosa.ru/images/pdf/sb_2006_4.pdf#page=30,"55.0825, 20.9800",55.0825,20.9800,
"Die Käferfauna (Coleoptera) der Grafschafter 
Krautfabrik in Meckenheim/Rheinland",2001,Manfred Junker,Германия,Рейнская область - Меккенхайм,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/JUNKER%202001%20Kaeferfauna%20Grafschafter%20Krautfabrik.pdf,"50.7300, 7.0200",50.7300,7.0200,
"Algunos Buprestidae depositados en la colección Arthropoda
del Centro de Investigación Forestal de Lourizán",2022,"Juan José Pino Pérez, Antonio Verdugo Páez, Rubén Pino Pérez",Испания,"Галисия: г. Ла-Корунья, ",https://dialnet.unirioja.es/descarga/articulo/8787730.pdf,"43.3667, -8.4000",43.3667,-8.4000,
"Krasoňovité (Coleoptera, Buprestidae) v NPR Devínska Kobyla",1997,"Jozef Lukáš, Oto Majzlan",Словакия,Девинская Кобыла,http://www.ffs.sk/pdf/FFS-02-10-Lukas-Majzlan-1997.pdf,"48.1925, 16.9908",48.1925,16.9908,
"Příspěvek k poznání fauny brouků (Coleoptera) navrhovaného chráněného území ""Na Plachtě"" v Hradci Králové",2000,"Miroslav Mikát, Jan Fremuth, Jaroslav Prouza",Чехия,г. Градец-Кралове - природный памятник Na Plachtě,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjp3-X0heuTAxVnKhAIHRUWNuAQFnoECBkQAQ&url=http%3A%2F%2Fwww.tkv.cz%2Fpdf%2Fperiodika%2Factareginaehradecensis%2F25_1997%2F093.pdf&usg=AOvVaw2ETb-9mNDLa5oh82DCQ3Ga&opi=89978449,"50.2150, 15.8483",50.2150,15.8483,
"Насекомые, минирующие листья растений семейства ивовых (Salicaceae) в Сибири: распространение, трофические связи и вредоносность",2018,Н. И. Кириченко и др.,Россия,"г. Барнаул: змеиногорский тракт, проспект Красноармейский",https://www.researchgate.net/profile/Natalia-Kirichenko/publication/329466647_Nasekomye_miniruusie_lista_rastenij_semejstva_ivovyh_Salicaceae_v_Sibiri_rasprostranenie_troficeskie_svazi_i_vredonosnost_Salicaceae-feeding_leaf-mining_insects_in_Siberia_distribution_trophic_special/links/5c0a37a1a6fdcc494fdfd6ab/Nasekomye-miniruusie-lista-rastenij-semejstva-ivovyh-Salicaceae-v-Sibiri-rasprostranenie-troficeskie-svazi-i-vredonosnost-Salicaceae-feeding-leaf-mining-insects-in-Siberia-distribution-trophic-spec.pdf,"53.3292, 83.7208",53.3292,83.7208,
,,,,г. Тобольск: парк Ермака,,"58.2008, 68.2531",58.2008,68.2531,
,,,,"г. Сургут: парк Энергетиков, парк Кедровый лог, зона СурГУ",,"61.2542, 73.3967",61.2542,73.3967,
,,,,г. Томск: ботсад ТГУ,,"56.4775, 84.9447",56.4775,84.9447,
Прикладные экологические исследования на участке проектируемой автодороги Кожевенное-Старокаменное-Красноглухово (Чувашская Республика),2007,А.В. Димитриев и др.,Россия,Чувашская респ.: На участке Кожевенное – Старокаменное,https://elibrary.ru/item.asp?id=27509257,"55.2888, 46.7970",55.2888,46.7970,
"Compte rendu de la sortie entomologique dans le 
Haut Jura (Ain et Jura, France) (23 et 24 juin 2012) ",2014,Jean-Claude Prudhomme et al.,Франция,Юра: Септмонсель,https://www.persee.fr/doc/linly_0366-1326_2014_num_83_1_13899,"46.3717, 5.9139",46.3717,5.9139,
Thành phần các loài côn trùng gây hại trong không gian xanh đô thị ở thành phố Saint Petersburg (Liên bang Nga) và khu vực lân cận,2022,Буй Динь Дык,Россия,г. Санкт-Петербург: парк Лесотехнического университета,https://www.researchgate.net/publication/359591139_THANH_PHAN_CAC_LOAI_CON_TRUNG_GAY_HAI_TRONG_KHONG_GIAN_XANH_DO_THI_O_THANH_PHO_SAINT_PETERSBURG_LIEN_BANG_NGA_VA_KHU_VUC_LAN_CAN,"59.9940, 30.3405",59.9940,30.3405,
,,,,г. Пушкин: Александровский парк,,"59.7217, 30.3772",59.7217,30.3772,
,,,,г. Санкт-Петербург: Московский парк победы,,"59.8682, 30.3308",59.8682,30.3308,
Vedlevande skalbaggar vid Övre Tälningsån i Hälsingland,2001,"Per-Ola Hoffsten, Roger B. Pettersson",Швеция,"Хельсингланд, Övre Tälningsån",https://www.diva-portal.org/smash/record.jsf?pid=diva2:880233,"61.6072, 15.2602",61.6072,15.2602,
Die Käferfauna (Coleoptera) des Greifensolls bei Greifswald in Vorpommern,2023,"Leopold Wendlandt, Tobias Mainda",Германия,Западная Померания: Greifensoll,https://www.logos-verlag.de/PDFS/anlk.59.03.pdf,"54.1828, 12.9792",54.1828,12.9792,
"Inventarizační průzkum ptáků (Aves), vážek (Odonata), denních motýlů (Rhopalocera) a vybraných skupin brouků (Coleoptera) na lokalitě Chmeliště ",2011,O.s. Denemark,Чехия,Chmeliště,http://denemark.jidol.cz/wp-content/IP_chmeliste_22_11_11.pdf,"49.9069, 15.0331",49.9069,15.0331,
La faune des insectes à larves fonceuses de mines foliaires: un pré-inventaire réalisé dans la partie bourguignonne du projet de Parc national des forêts de Champagne et Bourgogne,2017,Jean Béguinot,Франция,Ванве,https://www.researchgate.net/profile/Jean-Beguinot/publication/320698922_La_faune_des_insectes_a_larves_fonceuses_de_mines_foliaires_un_pre-inventaire_realise_dans_la_partie_bourguignonne_du_projet_de_Parc_national_des_forets_de_Champagne_et_Bourgogne/links/5a25377c4585155dd41ef19e/La-faune-des-insectes-a-larves-fonceuses-de-mines-foliaires-un-pre-inventaire-realise-dans-la-partie-bourguignonne-du-projet-de-Parc-national-des-forets-de-Champagne-et-Bourgogne.pdf,"48.8208, 2.2897",48.8208,2.2897,
Coleópteros fitófagos (Insecta: Coleoptera) de los encinares cantábricos de la Reserva de la Biosfera de Urdaibai,2005,Iñigo Ugarte San Vicente,Испания,Заповедник Урдайбай,http://crisomelidosibericos.com/bibliografia/documentos_pdf/documento38.pdf,"43.2500, -2.6667",43.2500,-2.6667,
"Фауна и население жесткокрылых насекомых (Insecta, Coleoptera) природного комплекса «Ергач» (Пермский край)",2014,В.О. Козьминых,Россия,Пермский край - природный комплекс «Ергач»,https://cyberleninka.ru/article/n/fauna-i-naselenie-zhestkokrylyh-nasekomyh-insesta-soleortera-prirodnogo-kompleksa-ergach-permskiy-kray,"57.4922, 56.7011",57.4922,56.7011,
Catalogue des Coléoptères Buprestides de France,1972,Schaefer Léon,Франция,Остров Корс,https://www.linneenne-lyon.org/depot1/1284.pdf,"42.1500, 9.0833",42.1500,9.0833,
Excursieverslag Schuitwater – 4 mei 2002,2003,Jan Cuppen et al.,Нидерланды,Schuitwater,https://natuurtijdschriften.nl/pub/564623/SEI2003061001008.pdf,"51.4696, 6.1233",51.4696,6.1233,
"Zur Käferfauna der südlichen Eifel und des Moseltales (Ins., Col.) Bericht zu den Pfingstexkursionen der Arbeitsgemeinschaft Rheinischer Koleopterologen 1992-1994 ",1995,Bernd Franzen,Германия,Заповедник Mosbrucher Weiher,https://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/FRANZEN%201995%20Exkursion%20Suedeifel%20Moseltal.pdf,"50.2775, 6.9408",50.2775,6.9408,
Ergebnisse der Untersuchungen zur Entomofauna im Berliner Teil des Tegeler Fließtales  –  Käfer (Coleoptera),2001,Jens Esser,Германия,г. Берлин: Заповедник Тегелер Флиссталь,https://www.orion-berlin.de/verein/bibl/esser/71.pdf,"52.6083, 13.3111",52.6083,13.3111,
Ergebnis der Exkursionen 1987 der Arbeitsgemeinschaft südwestdeutscher Koleopterologen in Feuchtgebiete des Landkreises Biberach,1989,Dynort Öhringen et al.,Германия,Баден-Вюртемберг: Бад-Шуссенрид - заповедник Riedschachen,https://www.zobodat.at/pdf/Mitt-Ent-Ver-Stuttgart_24_1989_0010-0032.pdf,"48.0354, 9.6677",48.0354,9.6677,
,,,,Баден-Вюртемберг: Бад-Шуссенрид - заповедник Wildes Ried,,"48.0500, 9.6500",48.0500,9.6500,
,,,,Баден-Вюртемберг: Бад-Шуссенрид - заповедник Steinhäuser Ried,,"48.0333, 9.6833",48.0333,9.6833,
山口県産タマムシ科目録,2023,Шиничи Танака,Япония,префектура Ямагути,https://www.city.shimonoseki.lg.jp/uploaded/attachment/65532.pdf,"34.0667, 131.5000",34.0667,131.5000,
"Verslag extra excursie Empesche en Tondensche Heide, 
28 juni 2008",2009,Bas Drost et al.,Нидерланды,Гелдерланд: Empesche en Tondensche Heide,https://natuurtijdschriften.nl/pub/564836/SEI2009083001011.pdf,"52.1367, 6.0896",52.1367,6.0896,
Faune terrestre et d'eau douce des Pyrénées-Orientales,1963,Léon Schaefer,Франция,Восточные Пиренеи: Кастиэль,https://hal.sorbonne-universite.fr/hal-03274972v1,"42.7006, 2.8939",42.7006,2.8939,
,,,,Восточные Пиренеи: Эус,,"42.4333, 2.6167",42.4333,2.6167,
,,,,Восточные Пиренеи: Прад,,"42.6167, 2.4500",42.6167,2.4500,
,,,,Восточные Пиренеи: l'Aulne,,"42.6333, 2.4333",42.6333,2.4333,
Fauna brouků (Coleoptera) přírodní památky Kounické louky,2019,Michal Ouda,Чехия,Памятник природы Kounické louky,https://entolisty.cz/wp-content/uploads/2021/07/10-06-Ouda.pdf,"49.1911, 16.6322",49.1911,16.6322,
Treffen ostsächsischer Koleopterologen,2012,"Olaf Jäger, Jörg Lorenz, Hans-Peter Reike",Германия,Мариенберг: Райтценхайн,https://www.lorenzjoerg.de/ffh/Lorenz_2012_dritteKaeferExi_Neunzehnhain.pdf,"50.5611, 13.2194",50.5611,13.2194,
Schmetterlinge und Käfer im ehemaligen Basalt-Steinbruch Zinst bei Kulmain,2016,"Gerald Fuchs, Herbert Fuchs",Германия,Кульмайн: Базальтовый карьер Zinst,https://www.abe-entomofaunistik.org/sites/abe/files/pub/BBE_16__019_038.pdf,"49.9000, 11.9167",49.9000,11.9167,
Kétújfalu és Teklafalu környékének bogárfaunája (Coleoptera),2008,"Sár József, Merkl Ottó",Венгрия,Баранья: Kétújfalu,https://real.mtak.hu/154868/,"45.9315, 17.9542",45.9315,17.9542,
,,,,Баранья: Teklafalu,,"45.9493, 17.7298",45.9493,17.7298,
"Entomofauna van De Kempen, Noord-Brabant. Verslag van de 161e zomerbijeenkomst te Baarschot",2007,"Jan G.M. Cuppen, Bas Drost",Нидерланды,Бладель: заповедник Cartierheide,https://natuurtijdschriften.nl/pub/1011795,"51.3333, 5.2500",51.3333,5.2500,
,,,,Бладель: Casteren (долина реки Грооте-Берзе),,"51.3658, 5.2683",51.3658,5.2683,
Corología de los Buprestidae de la Península Ibérica e Islas Baleares (Coleoptera),2002,"Lucía Arnáiz Ruiz, Pablo Bercedo Páramo, António José De Sousa Zuzarte",Испания,Пиренейский полуостров,http://sea-entomologia.org/PDF/BOLETIN_30/B30-003-037.pdf,"42.9130, -2.8000",42.9130,-2.8000,
,,,,Балеарские острова,,"39.5000, 3.0000",39.5000,3.2000,
,,,,Провинция Álava: Gazeo,,"42.8891, -2.6057",42.8891,-2.6057,
,,,,Провинция Álava: Galarreta,,"42.9049, -2.4085",42.9049,-2.4085,
,,,,Провинция Álava: Doneirraliaga-Ordoñana,,"42.9346, -2.5152",42.9346,-2.5152,
,,,,Провинция Álava: Pto. de Opakua,,"42.9032, -2.4074",42.9032,-2.4074,
,,,,Провинция Asturias: окресности г. Oviedo ,,"43.3619, -5.8492",43.3619,-5.8492,
,,,,Провинция Asturias: Mte. Muniellos,,"43.0320, -6.7160",43.0320,-6.7160,
,,,,Провинция Asturias: Moal,,"43.3665, -6.8244",43.3665,-6.8244,
,,,,Провинция Asturias: Trescares,,"43.3381, -4.8553",43.3381,-4.8553,
,,,,Barselona: Tiana o San Cebriá de Tiana,,"41.4833, 2.2667",41.4833,2.2667,
,,,,Coruna: Lavacolla,,"42.8947, -8.3868",42.8947,-8.3868,
,,,,Gerona: Río Ter,,"42.0235, 3.1919",42.0235,3.1919,
,,,,Lerida: г. Seo de Urgell,,"42.3578, 1.4601",42.3578,1.4601,
,,,,Lerida: Túnel de Viella,,"42.6353, 0.7926",42.6353,0.7926,
,,,,Salamanca: Porqueriza,,"41.0878, -5.8729",41.0878,-5.8729,
,,,,Valencia: La Barraca,,"39.5000, -0.4000",39.5000,-0.4000,
,,,,Guipuzcoa: Urretxu,,"43.0907, -2.3268",43.0907,-2.3268,
"Faunistic and Taxonomic Studies on the Family Buprestidae (Coleoptera) in Erzurum, Erzincan, Artvin and Kars Provinces I. Acmaeoderinae, Polycestinae and Buprestinae ",2000,"Göksel Tozlu, Hikmet Özbek",Турция,Эрзурум: г. Ашкале ,https://journals.tubitak.gov.tr/zoology/vol24/iss5/6/,"39.9200, 40.7100",39.9200,40.7100,
,,,,Эрзурум: г. Испир,,"40.4745, 41.4898",40.4745,41.4898,
,,,,Эрзурум: г. Олту,,"40.5954, 41.9935",40.5954,41.9935,
,,,,Эрзурум: г. Тортум,,"40.3397, 41.5446",40.3397,41.5446,
,,,,Кастамону: г. Пехливанлы,,"41.6648, 33.4287",41.6648,33.4287,
,,,,anzavderesi,,"40.8000, 31.2000",40.8000,31.2000,
Contribution à la connaissance de l’entomofaune du département d’Eure-et-Loir.Résultats de prospections effectuées à Fontenay-sur-Conie (Coleoptera),2021,Julien Fleury,Франция,Эр-и-Луар: Фонтене-Сюр-Кони,https://www.researchgate.net/profile/Julien-Fleury-3/publication/351372273_Contribution_a_la_connaissance_de_l'entomofaune_du_departement_d'Eure-et-Loir_Resultats_de_prospections_effectuees_a_Fontenay-sur-Conie_Coleoptera/links/6476f60b6fb1d1682b1f9aea/Contribution-a-la-connaissance-de-lentomofaune-du-departement-dEure-et-Loir-Resultats-de-prospections-effectuees-a-Fontenay-sur-Conie-Coleoptera.pdf,"48.4770, 1.7470",48.4770,1.7470,
Compte rendu faunistique de l'excursion de la Société entomologique de France dans le Mâconnais (19-21 juin 1999),2000,"Roland Allemand, Roger Vincent",Франция,Pont-Seille,https://www.persee.fr/doc/linly_0366-1326_2000_num_69_5_11327,"46.6400, 5.9300",46.6400,5.9300,
Adatok Ócsa és környékének bogárfaunájához (Insecta: Coleoptera),2014,Rozner István,Венгрия,Пешт: дер. Альсонемеди,https://real.mtak.hu/166516/,"47.3137, 19.1665",47.3137,19.1665,
,,,,Пешт: дер. Инарч,,"47.2600, 19.3300",47.2600,19.3300,
Entomofauna van Westerwolde verslag van de 156e zomerbijeenkomst te Ter Apel,2002,"Oscar Vorst, Jan G.M. Cuppen",Нидерланды,Провинция Гронинген: Vlagtwedde,https://natuurtijdschriften.nl/pub/1011991,"53.0258, 7.1139",53.0258,7.1139,
,,,,Провинция Гронинген: Ellersinghuizen ,,"52.8811, 7.1342",52.8811,7.1342,
,,,,Провинция Гронинген: заповедник Metbroekbosch,,"52.8667, 7.1333",52.8667,7.1333,
,,,,Провинция Гронинген: Sellinge ,,"52.8500, 7.1500",52.8500,7.1500,
,,,,Провинция Гронинген: Sellingerbeetse,,"52.8667, 7.1667",52.8667,7.1667,
Aspecte privind influenţa factorilor antropici asupra faunei de insecte din ecosistemele terestre limitrofe municipiului Galaţi (România),2013,"Cecilia Şerban, Mihaela Cristescu",Румыния,г. Галац: Natural Park of the Lower Prut Flood Plain,https://biblioteca-digitala.ro/reviste/Acta-Musei-Tutovensis/08-Acta-Musei-Tutovensis-VIII-Barlad-2013-21.pdf,"45.7775, 28.1472",45.7775,28.1472,
La coleotterofauna legata prevalentemente al legno (xilofitofaga e saproxilica) dei Gessi di Brisighella e Rontana,2015,Ettore Contarini,Италия,Бризигелла: гора Ронтана,https://www.venadelgesso.it/assets/i-gessi-di-brisighella-e-rontana---la-coleotterofauna-legata-prevalentemente-al-legno.pdf,"44.2216, 11.7433",44.2216,11.7433,
Verslag weekendexcursie Schinveld 28 - 30 augustus 2009,2010,Bas Drost et al.,Нидерланды,Шинвельд ,https://natuurtijdschriften.nl/pub/564889/SEI2010088001005.pdf,"51.6225, 5.4319",51.6225,5.4319,
"Xylobionte Käfergemeinschaften (Insecta: Coleoptera) im Bergsturzgebiet des Dobratsch (Schütt, Kärnten)",2015,Von Sandra Aurenhammer et al. ,Австрия,"Шютт, Каринтия: Заповедник Добрач",https://www.rydzi.cz/citace/Dobratsch.pdf,"46.5731, 13.7110",46.5731,13.7110,
"Výsledky průzkumu brouků (Coleoptera) vrchu Vlčice (Šluknov, severní Čechy)",2022,Lukáš Blažej et al.,Чехия,"Устецкий край, Дечинский район: Холм Влчице",https://www.muzeumlb.cz/IS/pu_data/send_files/Files/Sborniky/Sbornik_Prirodni_Vedy/40_2022/Blazej_et_al_2022_Coleoptera_Vlcice_s.pdf,"50.3333, 17.2000",50.3333,17.2000,
"Excursieverslag De Doort (Echt, Limburg), 24 juni 2006",2008,Bas Drost et al.,Нидерланды,Лимбург: г. Эхт,https://natuurtijdschriften.nl/pub/564796/SEI2008079001008.pdf,"51.1000, 5.8833",51.1000,5.8833,
О видовом составе вредителей городских зеленых насаждений,2008,Т.В. Прокопович,Беларусь,г. Минск,https://elib.belstu.by/handle/123456789/39671,"53.9023, 27.5615",53.9023,27.5615,
,,,,г. Мядель,,"54.8750, 26.9333",54.8750,26.9333,
,,,,п. Раков,,"53.9667, 27.2167",53.9667,27.2167,
Zur Käferfauna (Coleoptera) des Mayener Grubenfeldes in der Osteifel Bericht über die Frühjahrsexkursion der Arbeitsgemeinschaft Rheinischer Koleopterologen 2001 ,2002,Werner Steinbeck,Германия,Восточный Айфель: Майен,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/MATERN%202002%20Kaeferfauna%20Mayener%20Grubenfeld.pdf,"50.3300, 7.2200",50.3300,7.2200,
Ekosozologické vyhodnotenie fauny chrobákov (Coleoptera) PR Veľký vrch v katastri Malé Kršteňany,1998,"Jozef Cunev, Oto Majzlan",Словакия,дер. Мале Крштенаны: заповедник Veľký vrch,http://www.ffs.sk/pdf/FFS-03-11-Cunev-Majzlan-1998.pdf,"48.5500, 18.4500",48.5500,18.4500,
Note preliminari sull'entomofauna del Parco degli Acquedotti (Roma),2004,Valerio Viglioglia,Италия,г. Рим: парк Acquedotti,https://neurotteri.enea.it/viglioglia_2004_partim.pdf,"41.8681, 12.5319",41.8681,12.5319,
"Жесткокрылые, учтенные оконными ловушками на территории памятника природы федерального значения «Городской бор» в городе Калуге",2022,"В.В. Перов, В.В. Алексанов",Россия,г. Калуга: Калужский городской бор,https://cyberleninka.ru/article/n/zhestkokrylye-uchtennye-okonnymi-lovushkami-na-territorii-pamyatnika-prirody-federalnogo-znacheniya-gorodskoy-bor-v-gorode-kaluge,"54.5138, 36.2612",54.5138,36.2612,
"Фауна жесткокрылых (Insecta, Coleoptera) заповедника «Денежкин Камень»",2003,А.И. Ермаков,Россия,заповедник «Денежкин Камень».,https://ipae.uran.ru/sites/default/files/publications/ipae/0193_2003_%D0%A2%D1%80%D1%83%D0%B4%D1%8B%D0%97%D0%B0%D0%BF%D0%94%D0%B5%D0%BD%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D1%8C%D0%92%D1%8B%D0%BF3.pdf#page=40,"60.5081, 59.4931",60.5081,59.4931,
"La faune des insectes à larves foreuses de mines foliaires : un pré-inventaire réalisé sur le plateau d’Antully, en marge  orientale du Morvan",2023,Jean Béguinot,Франция,плато Антюли: Буа-де-Мопри ,https://www.researchgate.net/profile/Jean-Beguinot/publication/371681719_La_faune_des_insectes_a_larves_foreuses_de_mines_foliaires_un_pre-inventaire_realise_sur_le_plateau_d'Antully_en_marge_orientale_du_Morvan/links/648f6242b9ed6874a5b75deb/La-faune-des-insectes-a-larves-foreuses-de-mines-foliaires-un-pre-inventaire-realise-sur-le-plateau-dAntully-en-marge-orientale-du-Morvan.pdf,"46.9090, 4.4090",46.9090,4.4090,
,,,,плато Антюли: де-Кро,,"46.9090, 4.4090",46.9090,4.4090,
,,,,плато Антюли: дер. Сент-Эмилан,,"46.9020, 4.4080",46.9020,4.4080,
,,,,плато Антюли: дер. Антюли ,,"46.9035, 4.4098",46.9035,4.4098,
,,,,плато Антюли: дер. Oyé ,,"46.9000, 4.4000",46.9000,4.4000,
Les Coléoptères du Jardin Botanique de l'Université de Strasbourg. Plus de 1000 espèces inventoriées !,2014,Henry Callot,Франция,г. Страсбург: Ботанический сад Страсбургского университета,https://jardin-botanique.unistra.fr/websites/sciencesvie/EMB/jardin-botanique/Animaux-jardin/Callot_Coleopt._JB_Strasbourg.pdf,"48.5833, 7.7500",48.5833,7.7500,
Жуки филло- и кормофаги (Coleoptera) Куршской косы.,2012,В.И. Алексеев ,Россия,Калининградская обл.: Куршская коса,https://www.researchgate.net/profile/Vitalii-Alekseev-2/publication/315768407_Zuki_fillo-_i_kormofagi_Coleoptera_Kursskoj_kosy/links/58e36b0aaca2722505d24b15/Zuki-fillo-i-kormofagi-Coleoptera-Kursskoj-kosy.pdf,"55.1333, 20.8000",55.1333,20.8000,
Versuch einer Käfer-Fauna Krains,1866,M. Siegel,Словения,Крайна,https://books.google.com/books?hl=ru&lr=&id=06I-AAAAcAAJ&oi=fnd&pg=PA1&dq=Versuch+einer+K%C3%A4fer-Fauna+Krains&ots=6x2f6V79T2&sig=0McpCqU-n53jTOWNRdwOQcSDc7A,"46.2389, 14.3556",46.2389,14.3556,
Дендрофільні мінери-філобіонти в’язів (Ulmus L.) у паркових насадженнях м. Дніпро,2019,И. Зайцева,Украина,г. Днепр,https://dspace.uzhnu.edu.ua/bitstreams/e6d67c6b-d6d0-41ad-9831-959fa113d9a0/download#page=225,"48.4675, 35.0400",48.4675,35.0400,
Untersuchungen zur Käferfauna der Umgebung von Skwierzyna im westlichen Polen (Wielkopolska),2008," J. Messutat, K. Renner",Польша,г. Сквежина,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjalcPHkOuTAxV_GxAIHWcPH8kQFnoECBsQAQ&url=https%3A%2F%2Fwww.zobodat.at%2Fpdf%2FColeo_8_0003-0027.pdf&usg=AOvVaw2MW7HbFsoMa9brTBCOYn3k&opi=89978449,"52.6000, 15.5000",52.6000,15.5000,
Спосіб життя та сезонний розвиток комах-філофагів у міських насадженнях Харкова,2021,Є.С. Кардаш,Украина,г. Харьков,https://repo.btu.kharkiv.ua/bitstreams/b90904c8-3fae-485b-8e39-4eff4bb82988/download,"50.0044, 36.2314",50.0044,36.2314,
Excursieverslag Weerribben – 26-27 mei en 31 augustus-2 september 2001,2002,Barend van Maanen et al.,Нидерланды,Weerribben,https://natuurtijdschriften.nl/pub/564609/SEI2003059001008.pdf,"52.7900, 5.9469",52.7900,5.9469,
"Verslag weekendexcursie Bergen op Zoom, 26-28  augustus 2005, aangevuld met zoute Zeeuwse waarnemingen ",2007,Jan Cuppen et al.,Нидерланды,г. Берген-оп-Зом: De Matjens,https://natuurtijdschriften.nl/pub/564765/SEI2007076001006.pdf,"51.5000, 4.3000",51.5000,4.3000,
,,,,Зеландия: Markiezaat ,,"51.5000, 4.3000",51.5000,4.3000,
Příspěvek k fauně brouků (Coleoptera) Labských pískovců (severní Čechy),2022,Petr Brůha et al.,Чехия,Эльбские Песчаниковые горы: долина шахты Каменицкая мельница,https://www.muzeumlb.cz/IS/pu_data/send_files/Files/Sborniky/Sbornik_Prirodni_Vedy/40_2022/Bruha_et_al_2022_Coleoptera_Labske_piskovce_small.pdf,"50.8220, 14.3720",50.8220,14.3720,
I/35 Turnov – Úlibice – přivaděč Zelený Háj (II/283),2023,Jiří Veselý,Чехия,Žernov: okolí Zeleného háje (přivaděč II/283),https://www.turnov.cz/filemanager/files/3241694.pdf,"50.5415 N, 15.2725 E",50.5415,15.2725,
,,,,Turnov: okolí silnice I/35 směr Úlibice,,"50.5873 N, 15.1505 E",50.5873,15.1505,
,,,,Úlibice: navazující úsek na D35,,"50.4520 N, 15.4388 E",50.4520,15.4388,
"Die Käferfauna des FND ""Salweidenfeuchtgebiet bei Medingen"" (Insekta: Coleoptera)",2006,Jörg Lorenz,Германия,"заповедник ""Salweidenfeuchtgebiet bei Medingen""",https://lorenzjoerg.de/ffh/Lorenz_2006_Salweidenfeuchtgebiet.pdf,"52.8750, 10.6333",52.8750,10.6333,
Ricerche sui Coleotteri della Valle del Ticino,1990,Roberto Pescarolo,Италия,Пьемонт: в районе р. Тичино,https://www.storianaturale.org/anp/PDF%20ANP/11_1990_Pescarolo_Ricerche%20sui%20Coleotteri%20della%20Valle%20del%20Ticino_81-104.pdf,"45.7461, 8.7039",45.7461,8.7039,
Zur Käferfauna (Col.) der Teverener Heide bei Geilenkirchen,2007,Heinz Baumann,Германия,Теверенер Хайде,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/BAUMANN%202007%20Kaeferfauna%20Teverener%20Heide.pdf,"50.9341, 6.0401",50.9341,6.0401,
Käfer-Fauna Hildesheims,1867,Carl Wilken,Германия,Хильдесхайм,https://books.google.com/books?hl=ru&lr=&id=UBQ6AQAAMAAJ&oi=fnd&pg=PA1&dq=K%C3%A4fer-Fauna+Hildesheims&ots=DsA_LyM9V5&sig=BIW6rVSbZCV-E1QF50svz3HPMvQ,"52.1500, 9.9500",52.1500,9.9500,
Zur Käferfauna (Coleoptera) im Mündungsgebiet der Sieg bei Bonn,2008,Karl Hadulla,Германия,Бонн: устье реки Зиг,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/HADULLA%202008%20Kaeferfauna%20Siegmuendung.pdf,"50.7667, 7.1000",50.7667,7.1000,
"Xylobionte Käfer (Insecta: Coleoptera part.) in Wäldern des Biosphärenparks Wienerwald (Österreich: Niederösterreich, Wien)",2014,Werner E. Holzinger et al.,Австрия,Вена: заповедник Венский лес,https://www.holzcol.at/wp-content/uploads/2019/12/Biosph%C3%A4renpark-Wienerwald-2014.pdf,"48.1500, 16.1500",48.1500,16.1500,
Entomofauna van het Drents-Friese Wold. Verslag van de 169e NEV-Zomerbijeenkomst,2015,"Oscar Franken, Matty P. Berg",Нидерланды,Национальный парк Drents-Friese Wold ,https://natuurtijdschriften.nl/pub/1011501,"52.9060, 6.2960",52.9060,6.2960,
"Verslag van de 152e zomervergadering van de Nederlandse Entomologische Vereniging, 30 mei t/m 1 juni 1997, te Ommen (Overijssel)",1998,P. Koomen,Нидерланды,Оммен: Eerder Achterbroek ZW,https://natuurtijdschriften.nl/pub/1012157/EB1998058012005.pdf,"52.4848, 6.4758",52.4848,6.4758,
,,,,Оммен: Archem,,"52.4731, 6.4339",52.4731,6.4339,
Entomologische Erhebungen bei Unterpurkla und Dirnbach im Blaurackenbrutgebiet der Südost-Steiermark ,2012,"Thomas Frieß, Erwin Holzer, Anton Koschuh",Австрия,Штирия: Unterpurkla,https://www.holzcol.at/wp-content/uploads/2017/04/Unterpurkla_Dirnbach_2011_Bericht_Frie%C3%9F-Holzer-Koschuh.pdf,"46.7339, 15.9078",46.7339,15.9078,
,,,,Штирия: Dirnbach ,,"46.8333, 15.9000",46.8333,15.9000,
"Verslag van de 154e Zomerbijeenkomst te Hunsel, 4 t/m 6 juni 1999",2000,O. Vorst,Нидерланды,дер. Heythuysen: массив Starrenbosch,https://natuurtijdschriften.nl/pub/1012080/EB2000060012003.pdf,"51.3167, 5.9333",51.3167,5.9333,
